name,address,directions_site,could_scrape,has_cycling,has_directions
Citation Taverne & Restaurant,"40 Wilson St, Glasgow, United Kingdom",http://citation-glasgow.com/contact.html,true,false,true
"The Living Room, Glasgow","150 St Vincent St, Glasgow, United Kingdom",http://www.thelivingroom.co.uk/location/glasgow,true,false,true
Rogano,"11 Exchange Pl, Glasgow, United Kingdom",http://www.roganoglasgow.com/,true,false,false
Arta,"62 Albion St, Glasgow, United Kingdom",http://www.arta.co.uk/,true,false,false
Ristorante Piccolo Mondo,"344 Argyle St, Glasgow, United Kingdom",http://piccolomondo.co.uk/,true,false,false
Bar Soba,"116-122 Byres Rd, Glasgow, United Kingdom",http://www.barsoba.co.uk/,true,false,false
The Grill on the Corner,"21-25 Bothwell St, Glasgow, United Kingdom",http://blackhouse.uk.com/glasgow,true,false,false
Ubiquitous Chip,"12 Ashton Ln, Glasgow, United Kingdom",http://www.ubiquitouschip.co.uk/,true,false,false
Urban Brasserie,"23-25 St Vincent Pl, City Centre, Glasgow, United Kingdom",http://www.tripadvisor.co.uk/Restaurant_Review-g186534-d1308513-Reviews-Urban_Bar_Brasserie-Glasgow_Scotland.html,true,false,false
Metropolitan,"60 Candleriggs, Glasgow, United Kingdom",http://www.metropolitan-bar.com/,true,false,false
Ad Lib Merchant City,"33 Ingram St, City Centre, Glasgow, United Kingdom",http://www.5pm.co.uk/.../glasgow/merchant-city/ad-lib-merchant-city/,false,,
Babbity Bowster,"16-18 Blackfriars St, Glasgow, United Kingdom",http://www.tripadvisor.co.uk/Hotel_Review-g186534-d194019-Reviews-Babbity_Bowster-Glasgow_Scotland.html,true,false,true
La Bonne Auberge,"161 W Nile St, Glasgow, United Kingdom",http://www.opentable.co.uk/La-Bonne,false,,
Rawalpindi,"321 Sauchiehall St, Glasgow, United Kingdom",http://www.yell.com/biz/rawalpindi-tandoori-restaurant-glasgow-899335/,true,false,false
Di Maggio's,"21 Royal Exchange Square, Glasgow, United Kingdom",http://www.dimaggios.co.uk/,true,false,false
Hilton Glasgow,"1 William St, Glasgow, United Kingdom",http://www3.hilton.com/en/.../hilton-glasgow.../maps-directions/index.html,false,,
Two Fat Ladies,"118A Blythswood St, Glasgow, United Kingdom",http://www.twofatladies.co.uk/,false,,
The Arches,"253 Argyle St, Glasgow, United Kingdom",http://www.thearches.co.uk/find-us,true,false,true
Mono,"12 King's Court, Glasgow, United Kingdom",http://www.monocafebar.com/,true,false,false
The Red Onion,"257 W Campbell St, Glasgow, United Kingdom",http://www.red-onion.co.uk/,true,false,false
Princes Square Shopping Centre,"Princes Square, 48 Buchanan St, Glasgow, United Kingdom",http://www.princessquare.co.uk/getting-here,true,false,true
The Forge Shopping Centre,"1221 Gallowgate, Glasgow, United Kingdom",http://forgeshopping.com/information/getting-here,true,false,false
Glasgow Scout Shop,"Elmbank St, City Centre, Glasgow, United Kingdom",http://www.glasgowscoutshop.com/,true,false,false
Buchanan Galleries,"220 Buchanan St, Glasgow, United Kingdom",http://www.buchanangalleries.co.uk/getting-here,true,false,true
Apple Store Buchanan Street,"147 Buchanan St, Glasgow, United Kingdom",http://www.apple.com/uk/retail/buchananstreet/?utm_source...utm...,true,true,true
Tesco Extra,"St Rollox Business Park, Cobden Rd, Glasgow, United Kingdom",http://www.tesco.com/store-locator/uk/?bID=5307,true,true,false
Silverburn Shopping Centre,"Barrhead Rd, Glasgow, United Kingdom",http://www.shopsilverburn.com/visitor-info/getting-here,true,false,false
Vodafone,"84 Buchanan St, Glasgow, United Kingdom",http://www.vodafone.co.uk/Glasgow,false,,
The Whisky Shop,"Level One, Buchanan Galleries, Buchanan St, Glasgow, United Kingdom",http://www.whiskyshop.com/,true,false,true
Forbidden Planet,"168 Buchanan St, Glasgow, United Kingdom",http://www.yell.com/biz/forbidden-planet-ltd-glasgow-555344/,true,false,false
Primark Stores Ltd,"56 Argyle St, Glasgow, United Kingdom",http://www.yell.com/biz/primark-stores-ltd-glasgow-4183103/,true,false,false
